D0001,A015,0,0,43,F0904
D0001,A015,0,0,82,F0881
D0001,B4852,6,31,-43,F0904
D0001,A025,44,44,55,F1988
D0001,B0069,52,79,-55,F1988
D0001,A025,87,87,17,F2033
D0001,B2953,98,115,-17,F2033
D0001,B0179,131,163,-82,F0881
D0001,A015,168,168,16,F0915
D0001,B6368,168,185,-16,F0915
D0001,A015,185,185,92,F0923
D0001,B8333,188,222,-92,F0923
D0001,A015,225,225,98,F0927
D0001,S342,232,235,1,E2708
D0001,S342,235,245,2,E2710
D0001,B1142,249,257,-1,E2708
D0001,S361,262,267,1,E2793
D0001,B0586,270,278,-1,E2793
D0001,S361,281,288,2,E2794
D0001,B8569,288,297,-2,E2794
D0001,B8333,301,310,-2,E2710
D0001,S359,313,316,1,E2775
D0001,S381,324,329,1,E2886
D0001,B7219,333,341,-1,E2886
D0001,B4681,347,355,-1,E2775
D0001,B8647,364,399,-98,F0927
D0001,A015,404,404,83,F0884
D0001,B0805,410,442,-83,F0884
D0001,A015,448,448,59,F0922
D0001,A015,448,448,64,F0931
D0001,B8320,450,478,-59,F0922
D0001,A015,480,480,60,F0897
D0001,B3351,483,511,-60,F0897
D0001,B9179,513,542,-64,F0931
D0001,S326,549,554,4,E2559
D0001,B6864,555,566,-4,E2559
D0001,S161,585,588,1,E1665
D0001,B4133,590,598,-1,E1665
D0002,A023,0,0,11,F1850
D0002,A023,0,0,36,F1854
D0002,A023,0,0,22,F1872
D0002,A023,0,0,30,F1880
D0002,A023,0,0,26,F1845
D0002,A023,0,0,15,F1774
D0002,B5132,4,24,-26,F1845
D0002,B6146,28,51,-36,F1854
D0002,B5596,60,75,-11,F1850
D0002,B7769,85,104,-22,F1872
D0002,B8213,105,126,-30,F1880
D0002,A023,135,135,37,F1820
D0002,A023,135,135,19,F1831
D0002,B3582,144,167,-37,F1820
D0002,A006,200,200,40,F0250
D0002,B3756,203,227,-40,F0250
D0002,A006,230,230,33,F0210
D0002,A006,230,230,56,F0300
D0002,B0657,236,258,-33,F0210
D0002,A006,264,264,38,F0260
D0002,B7929,272,299,-56,F0300
D0002,B4588,311,334,-38,F0260
D0002,B0410,364,381,-15,F1774
D0002,B4354,389,407,-19,F1831
D0002,A021,454,454,73,F1656
D0002,A021,454,454,7,F1562
D0002,A021,454,454,19,F1679
D0002,B0023,487,500,-7,F1562
D0002,B8954,501,519,-19,F1679
D0002,B7181,551,582,-73,F1656
D0003,A031,0,0,44,F2835
D0003,A031,0,0,5,F2787
D0003,A031,0,0,6,F2793
D0003,A031,0,0,4,F2791
D0003,A031,0,0,2,F2784
D0003,A031,0,0,14,F2706
D0003,A031,0,0,8,F2705
D0003,A031,0,0,4,F2794
D0003,A031,0,0,3,F2802
D0003,A031,0,0,10,F2739
D0003,A031,0,0,1,F2824
D0003,A031,0,0,11,F2707
D0003,A031,0,0,20,F2864
D0003,A031,0,0,4,F2858
D0003,B6946,1,26,-44,F2835
D0003,B0637,32,48,-14,F2706
D0003,B5117,52,62,-3,F2802
D0003,B0538,109,122,-8,F2705
D0003,A031,165,165,5,F2725
D0003,B4394,202,211,-2,F2784
D0003,B4488,241,253,-5,F2787
D0003,B4628,261,272,-4,F2791
D0003,B8787,289,307,-20,F2864
D0003,B8329,326,337,-4,F2858
D0003,B6348,360,368,-1,F2824
D0003,B0652,374,389,-11,F2707
D0003,B4693,405,417,-6,F2793
D0003,B4840,429,440,-4,F2794
D0003,B2186,478,492,-10,F2739
D0003,B1463,578,590,-5,F2725
D0004,A016,0,0,71,F0981
D0004,B5334,5,35,-71,F0981
D0004,A016,40,40,78,F0988
D0004,A016,40,40,39,F1001
D0004,B5892,47,78,-78,F0988
D0004,A016,85,85,40,F0945
D0004,A016,85,85,43,F0946
D0004,B1514,91,116,-43,F0946
D0004,B1481,124,148,-40,F0945
D0004,B7482,151,175,-39,F1001
D0004,A029,211,211,26,F2467
D0004,B4383,216,236,-26,F2467
D0004,S106,240,240,1,E1462
D0004,A027,256,256,69,F2313
D0004,A027,256,256,43,F2296
D0004,A027,256,256,21,F2279
D0004,B7189,261,286,-43,F2296
D0004,B5172,295,314,-21,F2279
D0004,B0246,319,327,-1,E1462
D0004,B8714,328,358,-69,F2313
D0004,S131,358,360,1,E1543
D0004,B2100,361,369,-1,E1543
