D0125,A002,0,0,75,F0030
D0125,B2828,3,34,-75,F0030
D0125,A002,37,37,54,F0020
D0125,A002,37,37,82,F0037
D0125,B3667,40,72,-82,F0037
D0125,A002,75,75,80,F0077
D0125,B9186,77,109,-80,F0077
D0125,A002,112,112,36,F0013
D0125,A002,112,112,39,F0049
D0125,B1348,113,140,-54,F0020
D0125,B0420,146,169,-36,F0013
D0125,B5820,173,197,-39,F0049
D0125,S414,212,212,2,E2999
D0125,S419,213,218,1,E3069
D0125,S428,220,229,2,E3181
D0125,B6490,231,240,-2,E3181
D0125,S436,241,244,3,E3218
D0125,S428,247,248,2,E3132
D0125,B1442,249,258,-2,E2999
D0125,B7096,259,267,-1,E3069
D0125,B5474,269,279,-3,E3218
D0125,S421,279,280,1,E3105
D0125,S419,280,284,7,E3062
D0125,S421,284,288,3,E3098
D0125,S421,288,293,1,E3079
D0125,B5474,293,306,-7,E3062
D0125,S415,306,310,1,E3030
D0125,S421,310,316,3,E3089
D0125,B5474,316,326,-3,E3098
D0125,S428,328,329,3,E3135
D0125,B1442,330,339,-2,E3132
D0125,B7096,340,348,-1,E3105
D0125,S414,350,352,2,E3014
D0125,B1442,354,362,-1,E3079
D0125,S428,363,365,6,E3148
D0125,B2276,365,377,-6,E3148
D0125,B5581,382,390,-1,E3030
D0125,B6259,392,401,-2,E3014
D0125,B3782,406,416,-3,E3089
D0125,B1442,419,429,-3,E3135
D0125,S428,430,471,2,E3193
D0125,S419,473,473,2,E3064
D0125,S421,473,486,1,E3108
D0125,B7252,489,497,-1,E3108
D0125,S401,499,501,1,E2952
D0125,B5581,502,511,-2,E3064
D0125,B8410,517,526,-2,E3193
D0125,S428,528,531,1,E3150
D0125,B2276,531,539,-1,E3150
D0125,S401,544,572,1,E2960
D0125,B7252,575,583,-1,E2960
D0125,B3701,590,598,-1,E2952
D0126,A003,0,0,94,F0081
D0126,B0692,2,36,-94,F0081
D0126,A003,39,39,61,F0103
D0126,A003,39,39,67,F0105
D0126,B4139,43,71,-61,F0103
D0126,B4639,74,104,-67,F0105
D0126,A003,106,106,74,F0087
D0126,A003,106,106,64,F0085
D0126,B1840,108,139,-74,F0087
D0126,B1554,145,174,-64,F0085
D0126,A003,177,177,57,F0123
D0126,A003,177,177,76,F0104
D0126,B7410,179,207,-57,F0123
D0126,B4218,210,241,-76,F0104
D0126,A003,245,245,54,F0102
D0126,A003,245,245,82,F0084
D0126,B3980,251,278,-54,F0102
D0126,B1374,279,311,-82,F0084
D0126,A003,316,316,90,F0116
D0126,B6297,319,352,-90,F0116
D0126,A003,355,355,80,F0119
D0126,A003,355,355,60,F0100
D0126,B6710,358,390,-80,F0119
D0126,B3714,391,419,-60,F0100
D0126,A003,423,423,63,F0118
