Site_id,Lng,Lat
A116,121.226536,31.01312381
A051,121.746743,31.191404
A074,121.4901553,31.25021577
A001,121.486181,31.270203
A007,121.640596,31.245883
A065,121.529457,31.220285
A044,121.133601,31.254956
A073,121.48628,31.261953
A012,121.282956,31.404118
A069,121.3722477,31.23800875
A038,121.645264,30.926983
A067,121.172393,31.319773
A122,121.500987,31.273307
A070,121.3630038,31.4241141
A103,121.281285,31.243163
A114,121.385807,31.084641
A013,121.3620245,31.24323159
A108,121.1452973,31.02115858
A080,121.475485,31.249129
A102,121.3274427,31.15034239
A062,121.4102666,31.38958178
A071,121.209661,31.23474
A093,121.5030736,31.30056679
A078,121.208225,31.241977
A090,121.392677,31.137246
A101,121.4242807,31.25807688
A011,121.5524476,31.27974813
A057,121.5260426,31.28508546
A105,121.237833,31.280311
A032,121.2874929,30.93561937
A043,121.4241616,31.26777248
A066,121.2403101,31.44737868
A087,121.7430062,31.00896504
A098,121.467727,31.231326
A058,121.424891,31.107117
A085,121.3809773,31.19254827
A079,121.6505905,31.2077188
A042,121.547825,31.311026
A064,121.4866954,31.24308026
A075,121.0643918,31.11597113
A097,121.5349549,31.34673448
A018,121.7380279,31.03167926
A091,121.358479,31.122875
A113,121.218728,31.263012
A124,121.4688,31.132874
A035,121.2921915,31.1350807
A015,121.473346,31.199352
A084,121.472948,31.27082574
A021,121.3783637,30.99812416
A088,121.542516,31.262136
A045,121.412746,31.226553
A056,121.5674023,31.21214568
A081,121.423655,31.238309
A002,121.460204,31.27185213
A107,121.4658084,31.19319937
A025,121.5035632,31.17264512
A082,121.710028,31.267314
A049,121.456256,31.378379
A019,121.351727,30.84599
A039,121.374801,31.090224
A005,121.3587647,31.14221818
A110,121.290332,31.293305
A120,121.66743,31.053474
A041,121.5004386,31.21577683
A117,121.6164062,31.041192
A053,121.320108,31.342156
A099,121.799314,31.033621
A115,121.4806695,31.23631679
A017,121.1774339,31.19399514
A072,121.623064,31.19784
A083,121.426788,31.301046
A020,121.434401,30.842012
A068,121.482271,31.406547
A123,121.564182,31.110322
A037,121.421667,31.037546
A048,121.351057,31.252125
A109,121.4112678,31.42374673
A010,121.4344156,31.25431741
A026,121.7185088,31.21526435
A100,121.635729,31.317956
A046,121.4201336,31.19730717
A094,121.416327,31.12738049
A023,121.471902,31.057375
A077,121.062057,31.079973
A003,121.4269343,31.22042321
A063,121.403528,31.194518
A106,121.7033424,31.40891631
A027,121.3724954,31.28140654
A092,121.537162,31.249047
A121,121.443936,31.237006
A022,121.321295,31.231513
A034,121.6131036,31.30297734
A061,121.3108067,30.736171
A036,121.4377387,31.31941563
A047,121.344421,31.234845
A118,121.4807217,31.27495804
A031,121.610706,31.533371
A095,121.121632,31.141865
A024,121.4206106,31.17390359
A033,121.5826693,31.19703832
A052,121.377638,31.163671
A119,121.111917,31.198509
A112,121.25543,31.018206
A009,121.259267,31.056102
A060,121.322184,31.02918
A029,121.345844,31.305987
A050,121.457645,31.167299
A014,121.457371,31.166657
A006,121.521952,31.095357
A028,121.5593072,31.13068324
A104,121.5396688,31.28391679
A016,121.4336086,31.33921826
A055,121.345949,31.095212
A089,121.5736312,31.26793853
A111,121.566884,31.244669
A059,121.3505428,31.18091604
A030,121.146924,30.898537
A096,121.4312237,31.12029931
A076,121.497223,31.336321
A004,121.492507,31.234015
A040,121.511363,31.273124
A054,121.4760918,31.30694325
A008,121.747634,31.17355
A086,121.445216,31.120448
